Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
BRK-B,Berkshire Hathaway,2,1,67,49,119,14,-2,28,13,53,172
CAT,Caterpillar Inc.,-11,-28,90,48,99,-1,1,28,44,72,171
MCHP,Microchip Technology,29,0,20,52,101,41,-20,28,14,63,164
NWS,News Corp (Class B),1,30,55,45,131,-9,32,1,8,32,163
HIG,Hartford (The),0,1,37,42,80,4,-1,35,43,81,161
SO,Southern Company,1,57,16,66,140,18,-14,13,3,20,160
PH,Parker Hannifin,10,-31,83,51,113,-1,-30,61,17,47,160
KO,Coca-Cola Company (The),-7,55,16,49,113,-2,19,29,1,47,160
CL,Colgate-Palmolive,1,57,30,9,97,11,17,32,1,61,158
JNPR,Juniper Networks,52,8,27,37,124,8,26,-1,1,34,158
AVY,Avery Dennison,-57,-7,37,131,104,-1,-2,50,6,53,157
PG,Procter & Gamble,1,5,27,74,107,14,-2,24,13,49,156
L,Loews Corporation,0,-9,55,42,88,2,-2,55,11,66,154
GLW,Corning Inc.,10,48,12,3,73,8,47,24,1,80,153
TXN,Texas Instruments,27,52,12,5,96,27,3,25,1,56,152
FANG,Diamondback Energy,0,6,52,34,92,-8,6,22,37,57,149
URI,United Rentals,-3,-25,37,51,60,-10,5,50,44,89,149
FDS,FactSet,0,-31,-7,181,143,-1,6,-8,9,6,149
NOW,ServiceNow,-3,10,60,68,135,-2,14,-7,9,14,149
COR,Cencora,-48,-1,91,51,93,7,-1,-1,51,56,149
HCA,HCA Healthcare,-41,0,27,83,69,-8,41,27,16,76,145
STE,Steris,-3,-1,0,144,140,-1,-16,9,12,4,144
LDOS,Leidos,-17,55,37,10,85,-3,5,50,6,58,143
TSLA,"Tesla, Inc.",62,18,2,0,82,69,10,2,-20,61,143
SYK,Stryker Corporation,-82,0,37,141,96,7,-5,29,16,47,143
NWSA,News Corp (Class A),0,36,55,14,105,-3,32,1,8,38,143
GRMN,Garmin,0,7,53,6,66,10,-21,80,7,76,142
HPE,Hewlett Packard Enterprise,3,32,19,22,76,3,37,11,14,65,141
HD,Home Depot (The),-62,0,35,164,137,8,-2,-7,5,4,141
QCOM,Qualcomm,5,46,33,8,92,20,-5,29,4,48,140
INVH,Invitation Homes,31,26,20,0,77,36,18,28,-19,63,140
SYF,Synchrony Financial,41,13,33,8,95,2,7,29,4,42,137
ESS,Essex Property Trust,0,54,19,0,73,6,47,29,-19,63,136
EMR,Emerson Electric,31,0,35,45,111,8,-22,27,9,22,133
